c_id,f_id
0375ff9c2d8555e88be65079d6c42df3,57597962178fb06d54a61ba34ef93149
0375ff9c2d8555e88be65079d6c42df3,8e8a6c4cdc765554d2d672af7d333ba8
0375ff9c2d8555e88be65079d6c42df3,589ffaa96c786aa40d28b9eb18cfd631
0375ff9c2d8555e88be65079d6c42df3,23af5df5d6890963802b821ce008517c
0375ff9c2d8555e88be65079d6c42df3,2a713d38cde55f9c0ed7af6cea3d1ffb
0375ff9c2d8555e88be65079d6c42df3,a3a85647de73d6535f730357028f45cc
0375ff9c2d8555e88be65079d6c42df3,591ce61a1b730ebc8568ba9f862729b0
0375ff9c2d8555e88be65079d6c42df3,8aaff95ffff5a6812d962964a4bd44c3
0375ff9c2d8555e88be65079d6c42df3,367ac575452737ce9b40990bc17ae953
0375ff9c2d8555e88be65079d6c42df3,5f83115c31f3aee2007fc409a7526e3d
0375ff9c2d8555e88be65079d6c42df3,8917655f28bcb6eb2055f0adbf2a6854
0375ff9c2d8555e88be65079d6c42df3,fa6ce17c23cb6a3f9adb25345185278e
0375ff9c2d8555e88be65079d6c42df3,9dc1775eab1c131e03ebb41c6cc4deba
0375ff9c2d8555e88be65079d6c42df3,1abf5c68de8a19b4eb027963ed5191a9
0375ff9c2d8555e88be65079d6c42df3,03f801a44590b3ce7cee30028a459d96
0375ff9c2d8555e88be65079d6c42df3,782ffc63447b9fbec6db4892416f9a27
0375ff9c2d8555e88be65079d6c42df3,dad99c177055b8ce7b397afd8eb45855
0375ff9c2d8555e88be65079d6c42df3,5e3a2a84ecfb03343f7dcedf03af0e48
0375ff9c2d8555e88be65079d6c42df3,4a71db6fbfae2006b7ef27226d38938a
0375ff9c2d8555e88be65079d6c42df3,ef37fad80f168fe264fd23e8e023e8ec
0375ff9c2d8555e88be65079d6c42df3,7557f4ea4dbed34f6911426a7e9bb0f4
0375ff9c2d8555e88be65079d6c42df3,4d7bd6219142ae27064568f180eac3e3
0375ff9c2d8555e88be65079d6c42df3,31a6eb6b1942db53641b450ba8468cdb
0375ff9c2d8555e88be65079d6c42df3,c55713319b3d1b08cab59c5a55fcf339
0375ff9c2d8555e88be65079d6c42df3,9cb28fcb0ecfbcbe99ab44c063fc491e
0375ff9c2d8555e88be65079d6c42df3,7291ce251ddfdfe9bb13357096efc456
0375ff9c2d8555e88be65079d6c42df3,6515244f09dec163e6c2dfb2dd30f8c7
0375ff9c2d8555e88be65079d6c42df3,fd8b37b4f3de0419947feb8eab7c4c13
0375ff9c2d8555e88be65079d6c42df3,3c271edb64581fdd4714eb3ccf6c8414
0375ff9c2d8555e88be65079d6c42df3,0aa0e1cd01da970734c4bb9e56d0d8a4
0375ff9c2d8555e88be65079d6c42df3,0177eea0b0ea6ceb0781a5bef5e1d7e9
0375ff9c2d8555e88be65079d6c42df3,3791d85d550705beacd25af72570b6e3
0375ff9c2d8555e88be65079d6c42df3,6dbbc9aa0f3471366a03c101b7001b84
0375ff9c2d8555e88be65079d6c42df3,901568c0053c196a230c0069bd437aeb
0375ff9c2d8555e88be65079d6c42df3,18a500df68fe20828ca4d9140723bc9a
0375ff9c2d8555e88be65079d6c42df3,d1a98d1595614d748c5a567677571f77
0375ff9c2d8555e88be65079d6c42df3,7c062a1d43aa195425c701a17ff664ab
0375ff9c2d8555e88be65079d6c42df3,73ee4543e0e5fb016ae6563bf33512e1
0375ff9c2d8555e88be65079d6c42df3,ddabae84124e6bbee4ecd7b33d8f8a14
0375ff9c2d8555e88be65079d6c42df3,ba9367f979b8cdc5a4296255ef02f2ca
0375ff9c2d8555e88be65079d6c42df3,be09bb37b3c4f4a5646d2817566db394
0375ff9c2d8555e88be65079d6c42df3,22236e081557378b08ec2e25c512300c
0375ff9c2d8555e88be65079d6c42df3,854c720c427ea60ca1f63b34e1350fa6
0375ff9c2d8555e88be65079d6c42df3,6d5a04674b5e889ea71f504c7153efcc
0375ff9c2d8555e88be65079d6c42df3,c73e43ceab6a248e13011fc402a407ad
0375ff9c2d8555e88be65079d6c42df3,91d15e56202ae6f6501977c6cf3f60f9
